Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v8.0\bin\nppitc64_80.dll

File Type: DLL

  Section contains the following exports for nppitc64_80.dll

    00000000 characteristics
    58750269 time date stamp Wed Jan 11 00:48:57 2017
        0.00 version
           1 ordinal base
         209 number of functions
         209 number of names

    ordinal hint RVA      name

          1    0 000A0048 NvOptimusEnablementCuda
          2    1 0005DEE0 nppiCompareC_16s_AC4R
          3    2 0005DC40 nppiCompareC_16s_C1R
          4    3 0005DD70 nppiCompareC_16s_C3R
          5    4 0005F440 nppiCompareC_16s_C4R
          6    5 0005DA50 nppiCompareC_16u_AC4R
          7    6 0005D7B0 nppiCompareC_16u_C1R
          8    7 0005D8E0 nppiCompareC_16u_C3R
          9    8 0005F1C0 nppiCompareC_16u_C4R
         10    9 0005E5A0 nppiCompareC_32f_AC4R
         11    A 0005E0D0 nppiCompareC_32f_C1R
         12    B 0005E230 nppiCompareC_32f_C3R
         13    C 0005E400 nppiCompareC_32f_C4R
         14    D 0005D570 nppiCompareC_8u_AC4R
         15    E 0005ED30 nppiCompareC_8u_C1R
         16    F 0005D3D0 nppiCompareC_8u_C3R
         17   10 0005EF50 nppiCompareC_8u_C4R
         18   11 0005EB60 nppiCompareEqualEpsC_32f_AC4R
         19   12 0005E9B0 nppiCompareEqualEpsC_32f_C1R
         20   13 0005EA20 nppiCompareEqualEpsC_32f_C3R
         21   14 0005EAC0 nppiCompareEqualEpsC_32f_C4R
         22   15 0005E930 nppiCompareEqualEps_32f_AC4R
         23   16 0005E7B0 nppiCompareEqualEps_32f_C1R
         24   17 0005E830 nppiCompareEqualEps_32f_C3R
         25   18 0005E8B0 nppiCompareEqualEps_32f_C4R
         26   19 0005CC50 nppiCompare_16s_AC4R
         27   1A 0005C7D0 nppiCompare_16s_C1R
         28   1B 0005C950 nppiCompare_16s_C3R
         29   1C 0005CAD0 nppiCompare_16s_C4R
         30   1D 0005C650 nppiCompare_16u_AC4R
         31   1E 0005C1D0 nppiCompare_16u_C1R
         32   1F 0005C350 nppiCompare_16u_C3R
         33   20 0005C4D0 nppiCompare_16u_C4R
         34   21 0005D250 nppiCompare_32f_AC4R
         35   22 0005CDD0 nppiCompare_32f_C1R
         36   23 0005CF50 nppiCompare_32f_C3R
         37   24 0005D0D0 nppiCompare_32f_C4R
         38   25 0005C050 nppiCompare_8u_AC4R
         39   26 0005EBF0 nppiCompare_8u_C1R
         40   27 0005BD50 nppiCompare_8u_C3R
         41   28 0005BED0 nppiCompare_8u_C4R
         42   29 00018230 nppiThreshold_16s_AC4IR
         43   2A 00018060 nppiThreshold_16s_AC4R
         44   2B 00018030 nppiThreshold_16s_C1IR
         45   2C 00017F20 nppiThreshold_16s_C1R
         46   2D 0001CFD0 nppiThreshold_16s_C3IR
         47   2E 0001CE80 nppiThreshold_16s_C3R
         48   2F 00017EF0 nppiThreshold_16u_AC4IR
         49   30 00017D20 nppiThreshold_16u_AC4R
         50   31 00017CF0 nppiThreshold_16u_C1IR
         51   32 00017BE0 nppiThreshold_16u_C1R
